model,threshold,runtime_seconds,precision,recall,f1,f2,balanced_accuracy,roc_auc,pr_auc,tn,fp,fn,tp
EasyEnsemble_simple,0.5,0.6897726249990228,0.1910067648229208,0.7661612130885874,0.30578117534639276,0.4781829049611476,0.7668892594562216,0.8547607705272562,0.36849658939373,26862,8132,586,1920
RandomForest_balanced,0.5,4.80655150000166,0.5792592592592593,0.15602553870710295,0.24583464319396417,0.18272735769698104,0.5739549308669538,0.8429470248713482,0.35495840856038685,34710,284,2115,391
BalanceCascade_tuned,0.5,0.11341637499936041,0.22626770819541903,0.6819632881085395,0.3397952082711999,0.48614666894236785,0.7574816154779423,0.8323511484650361,0.33989896810913955,29150,5844,797,1709
LogReg_balanced,0.5,0.08861391700338572,0.17621655782599538,0.6675977653631285,0.2788333333333333,0.4285787478225228,0.7220511544995902,0.7989366641395736,0.31972605661131365,27173,7821,833,1673
BalanceCascade_simple,0.5,0.37111441700108116,0.0668444918644972,1.0,0.1253125312531253,0.2637117481163447,0.500142881636852,0.7589304672044794,0.3195280552570999,10,34984,0,2506
