model,runs,threshold_mean,threshold_std,precision_mean,precision_std,recall_mean,recall_std,f2_mean,f2_std,validation_f2_mean,validation_f2_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
BalanceCascade_simple,5,0.55,0.0,0.10796026988086979,0.009481270244659125,0.8083432152144784,0.036176388187219403,0.3509775289728288,0.01720924318080406,0.34807362607530123,0.010954008141812395,0.7750305544340176,0.02343292328578313,0.334052524977289,0.013539701140504725
BalanceCascade_tuned,5,0.52,0.02738612787525833,0.23870923758846563,0.019425160696037745,0.6384780873729137,0.06067926684502522,0.47566013309975463,0.019909803932664838,0.4664225889631276,0.024780537418334057,0.7822924639830229,0.04273501338133129,0.31290230703717836,0.02285087591159165
EasyEnsemble_simple,5,0.55,0.0,0.3144504451176683,0.011933718886818061,0.5947515193690707,0.013454307727511243,0.5045250390647116,0.0073319471578206855,0.4899771253174186,0.009130945748240646,0.8535999528701058,0.001440601959316276,0.36718672878810155,0.005401263738455908
LogReg_balanced,5,0.55,0.03535533905932739,0.24767575464333338,0.04875296201915291,0.5475947474764196,0.06438504813657824,0.43278402231451024,0.010048228037868454,0.4318037922670023,0.011439393627804401,0.7941005294912507,0.0041346740604031335,0.31264190594389296,0.006406845033744509
RandomForest_balanced,5,0.1,0.0,0.25233742343364723,0.0032222124684178296,0.6680775711487483,0.010454405850271575,0.5024672628172423,0.00586439678963151,0.4936191456436207,0.011101609627089367,0.842633209242299,0.0032953578794257927,0.3524945608211697,0.005779120302501375
