model,threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_rate
BalanceCascade_simple,0.6,0.5594149908592322,0.20345744680851063,0.2983910287664554,0.23312509523083955,0.595989534987414,0.02431111111111111
BalanceCascade_tuned,0.6,0.4208469055374593,0.4295212765957447,0.4251398486344192,0.42775791285922393,0.693589939117076,0.06822222222222223
EasyEnsemble_simple,0.6,0.37262542620555283,0.5086436170212766,0.43013775653640707,0.4740364357417276,0.7236492994612955,0.09124444444444445
LogReg_balanced,0.65,0.37790697674418605,0.38896276595744683,0.38335517693315857,0.38670015864621893,0.6715484433711791,0.0688
RandomForest_balanced,0.2,0.35572374645222327,0.5,0.41569928137092316,0.46248462484624847,0.7175652505239093,0.09395555555555556
