model,threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_rate
LogReg_balanced,0.05,0.06685697516207348,1.0,0.12533446697841907,0.26375060517397436,0.5002428987826485,0.9995466666666667
LogReg_balanced,0.1,0.06688731116212032,1.0,0.125387771440008,0.2638450200042114,0.5004857975652969,0.9990933333333334
LogReg_balanced,0.15,0.06707023088873414,0.9992019154030327,0.12570281124497992,0.26436927235102836,0.5019442165458897,0.9955733333333333
LogReg_balanced,0.2,0.06899037794969914,0.9928172386272945,0.1290155306074827,0.2699242736563456,0.5166835235829506,0.96168
LogReg_balanced,0.25,0.07444783515122216,0.9832402234636871,0.13841530208128527,0.2857076598409128,0.5539307935630147,0.8825866666666666
LogReg_balanced,0.3,0.08466972801130343,0.9565043894652833,0.15556853582554517,0.3126467365784943,0.6080030091579717,0.7549333333333333
LogReg_balanced,0.35,0.09745762711864407,0.9086193136472466,0.17603401623502127,0.3409907751287888,0.6530151491937439,0.62304
LogReg_balanced,0.4,0.11405021010666953,0.8447725458898643,0.20096829314600342,0.3702861540614287,0.6874174211417658,0.4949866666666667
LogReg_balanced,0.45,0.13833418052429017,0.7601755786113328,0.2340726178042637,0.40029417944946416,0.7105444390170454,0.36722666666666665
LogReg_balanced,0.5,0.17778015626672375,0.6628092577813248,0.28036121191661745,0.4288222233696494,0.7216429554609316,0.24914666666666666
LogReg_balanced,0.55,0.25040157058718543,0.5598563447725459,0.34603526945369345,0.4489025404748192,0.7199178849084196,0.14941333333333334
LogReg_balanced,0.6,0.33342776203966007,0.4696727853152434,0.38999337309476473,0.4341891692489302,0.7012163435063387,0.09413333333333333
LogReg_balanced,0.65,0.38291380625476734,0.40063846767757383,0.3915756630265211,0.39696346670884075,0.6772009849961282,0.06992
LogReg_balanced,0.7,0.43936052921719954,0.3180367118914605,0.36898148148148147,0.3366278087514783,0.6444872934778786,0.04837333333333333
LogReg_balanced,0.75,0.4696629213483146,0.2501995211492418,0.32647747982296277,0.275992604982833,0.614983740685497,0.0356
LogReg_balanced,0.8,0.5315217391304348,0.1951316839584996,0.28546409807355516,0.22341008771929824,0.5914076434309272,0.024533333333333334
LogReg_balanced,0.85,0.5743034055727554,0.14804469273743018,0.23540609137055837,0.1738519212746017,0.5700931013552842,0.017226666666666668
LogReg_balanced,0.9,0.6075949367088608,0.09577015163607343,0.1654601861427094,0.1151742009789807,0.5456704104468302,0.010533333333333334
LogReg_balanced,0.95,0.6302083333333334,0.04828411811652035,0.08969607116382505,0.05922083007047768,0.5231275994366108,0.00512
RandomForest_balanced,0.05,0.1793685356559608,0.7889066241021548,0.2922826729745713,0.4696854509170389,0.7652168715184147,0.29392
RandomForest_balanced,0.1,0.25227781926811055,0.6739824421388667,0.3671340071731334,0.5051139422214247,0.7654646736613062,0.17853333333333332
RandomForest_balanced,0.15,0.31436077057793343,0.573024740622506,0.4059937800395816,0.4920504385964912,0.7417618416491967,0.12181333333333333
RandomForest_balanced,0.2,0.3568707881629065,0.4860335195530726,0.41155600608210846,0.4532261665550346,0.7116542404875154,0.09101333333333333
RandomForest_balanced,0.25,0.4044375243285325,0.4146049481245012,0.4094581280788177,0.4125307710632891,0.6854415836238897,0.06850666666666666
RandomForest_balanced,0.3,0.4508816120906801,0.35714285714285715,0.39857492763304386,0.37263718877508534,0.6629973301545571,0.05293333333333333
RandomForest_balanced,0.35,0.49315960912052115,0.30207501995211494,0.37465973768869093,0.32745047149407386,0.6399213186289694,0.040933333333333335
RandomForest_balanced,0.4,0.5213882163034705,0.257781324820431,0.34499332443257674,0.286779721211045,0.62041778134489,0.03304
RandomForest_balanced,0.45,0.5520504731861199,0.20949720670391062,0.303731559155337,0.23917995444191345,0.5986618456220588,0.02536
RandomForest_balanced,0.5,0.5710267229254571,0.16201117318435754,0.25240907677960833,0.18910107126222636,0.5766476966681918,0.01896
RandomForest_balanced,0.55,0.5996131528046421,0.12370311252992817,0.20509427720807144,0.14704487240299782,0.5588939063821271,0.013786666666666666
RandomForest_balanced,0.6,0.6118598382749326,0.09058260175578611,0.1578032672923184,0.1091871091871092,0.5432338053072238,0.009893333333333334
RandomForest_balanced,0.65,0.6,0.05626496408619314,0.102882159795695,0.06872014816258895,0.5267893946566875,0.006266666666666667
RandomForest_balanced,0.7,0.6064516129032258,0.03750997605746209,0.07065013152950018,0.04617349444935652,0.5178834100439337,0.0041333333333333335
RandomForest_balanced,0.75,0.5833333333333334,0.019553072625698324,0.03783783783783784,0.024238227146814405,0.5092764505838671,0.00224
RandomForest_balanced,0.8,0.5306122448979592,0.010375099760574621,0.020352250489236792,0.012905787749429166,0.5048589221155276,0.0013066666666666667
RandomForest_balanced,0.85,0.6190476190476191,0.0051875498802873106,0.010288880094974277,0.006470881035340966,0.502479469630662,0.00056
RandomForest_balanced,0.9,0.8333333333333334,0.0019952114924181963,0.003980891719745223,0.0024925224327018943,0.5009833175825239,0.00016
RandomForest_balanced,0.95,0.75,0.0011971268954509178,0.002390438247011952,0.001495811727163941,0.5005842752840403,0.00010666666666666667
EasyEnsemble_simple,0.05,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
EasyEnsemble_simple,0.1,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
EasyEnsemble_simple,0.15,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
EasyEnsemble_simple,0.2,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
EasyEnsemble_simple,0.25,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
EasyEnsemble_simple,0.3,0.06880343055059238,0.9988028731045491,0.12873858814452874,0.26970238993168544,0.5153756035523317,0.9701066666666667
EasyEnsemble_simple,0.35,0.09412495631576903,0.9672785315243416,0.17155596447149582,0.3387651284344691,0.6503106951500659,0.6867466666666666
EasyEnsemble_simple,0.4,0.13909961447581146,0.8926576217079011,0.24069292016354638,0.4284455680686432,0.7485091846323125,0.4288533333333333
EasyEnsemble_simple,0.45,0.160470264905718,0.8387869114126097,0.2694008330663249,0.4545257968256714,0.7622665196601255,0.34930666666666665
EasyEnsemble_simple,0.5,0.1932333098378814,0.7657621707901038,0.30859532041489107,0.48083187171135056,0.768404317949204,0.26482666666666665
EasyEnsemble_simple,0.55,0.32259468872442315,0.5913806863527534,0.41746478873239434,0.5069092899165413,0.7512255777880243,0.12250666666666667
EasyEnsemble_simple,0.6,0.38308305240576157,0.49880287310454907,0.43335066736002775,0.4703845864378716,0.7206393630539605,0.08701333333333333
EasyEnsemble_simple,0.65,0.4700902934537246,0.3324022346368715,0.38943431510051424,0.35308579179382843,0.65278453161803,0.047253333333333335
EasyEnsemble_simple,0.7,0.5273401297497683,0.22705506783719073,0.3174337517433752,0.25623705304872557,0.6062405704391417,0.028773333333333335
EasyEnsemble_simple,0.75,0.6068181818181818,0.10654429369513169,0.18126272912423624,0.1275802752293578,0.5508002945300257,0.011733333333333333
EasyEnsemble_simple,0.8,0.6142857142857143,0.034317637669592976,0.06500377928949358,0.04230617866981504,0.5163872579957955,0.0037333333333333333
EasyEnsemble_simple,0.85,0.0,0.0,0.0,0.0,0.5,0.0
EasyEnsemble_simple,0.9,0.0,0.0,0.0,0.0,0.5,0.0
EasyEnsemble_simple,0.95,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_tuned,0.05,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_tuned,0.1,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_tuned,0.15,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_tuned,0.2,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_tuned,0.25,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_tuned,0.3,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_tuned,0.35,0.06684627490730614,1.0,0.12531566445805725,0.2637172984235893,0.5001571698005373,0.9997066666666666
BalanceCascade_tuned,0.4,0.06685162460651976,1.0,0.1253250650130026,0.2637339507472111,0.5002000342915929,0.9996266666666667
BalanceCascade_tuned,0.45,0.0684923819411319,0.9740622505985634,0.12798531917682526,0.26728423450058036,0.5126926672779066,0.9503733333333333
BalanceCascade_tuned,0.5,0.22455249799625968,0.6707901037509976,0.3364691753402722,0.480011422044546,0.7524522616828944,0.19962666666666667
BalanceCascade_tuned,0.55,0.3552941176470588,0.48204309656823624,0.4090755164239756,0.4499404052443385,0.7097018934861528,0.09066666666666667
BalanceCascade_tuned,0.6,0.4119819450143619,0.40063846767757383,0.40623103378515074,0.4028569135703395,0.6798442952778907,0.06498666666666666
BalanceCascade_tuned,0.65,0.5119876256767208,0.2641660015961692,0.3485127665175046,0.29248033931253864,0.6230671695127215,0.03448
BalanceCascade_tuned,0.7,0.5665171898355755,0.1512370311252993,0.23874015748031496,0.17721874123258205,0.5714749480939407,0.01784
BalanceCascade_tuned,0.75,0.580952380952381,0.09736632083000799,0.16678058783321942,0.11681348142474147,0.5461684436064083,0.0112
BalanceCascade_tuned,0.8,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_tuned,0.85,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_tuned,0.9,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_tuned,0.95,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_simple,0.05,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.1,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.15,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.2,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.25,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.3,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.35,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.4,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.45,0.06682666666666667,1.0,0.12528120781882718,0.2636562578907499,0.5,1.0
BalanceCascade_simple,0.5,0.0668427089168067,1.0,0.12530939820486536,0.2637061980427233,0.5001285934731668,0.99976
BalanceCascade_simple,0.55,0.09962034927866363,0.7853152434158021,0.17681146399532816,0.3304341985963263,0.638514054239192,0.5268
BalanceCascade_simple,0.6,0.5512679162072768,0.19952114924181963,0.2929973630237328,0.22870734607995608,0.5939452920010322,0.024186666666666665
BalanceCascade_simple,0.65,0.664,0.03312051077414206,0.06309388065374383,0.04089072815055671,0.5159601525122925,0.0033333333333333335
BalanceCascade_simple,0.7,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_simple,0.75,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_simple,0.8,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_simple,0.85,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_simple,0.9,0.0,0.0,0.0,0.0,0.5,0.0
BalanceCascade_simple,0.95,0.0,0.0,0.0,0.0,0.5,0.0
