model,threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_rate
BalanceCascade_simple,0.55,0.10286677908937605,0.8111702127659575,0.18258006584854833,0.34123965092861935,0.6522035098884084,0.5271111111111111
BalanceCascade_tuned,0.55,0.2503932878867331,0.6349734042553191,0.35915757803685594,0.48575788402848424,0.7494023050996542,0.1695111111111111
EasyEnsemble_simple,0.55,0.30895158481365376,0.5897606382978723,0.4054857142857143,0.4990435467536852,0.7476332244642343,0.1276
LogReg_balanced,0.55,0.23956854953164916,0.5611702127659575,0.335786751541675,0.44239438096236505,0.7167872401227386,0.1565777777777778
RandomForest_balanced,0.1,0.24555074555074555,0.6788563829787234,0.360649947015189,0.5017692156477295,0.7647234858311411,0.1848
